1:	0.486254,
2:	0.736254,
3:	1.736254,
4:	-1.013746,
5:	-5.763746,
6:	-11.013746,
7:	-10.263746,
8:	-11.513746,
9:	-12.013746,
10:	-16.513746,
11:	-13.763746,
12:	-15.513746,
13:	-13.513746,
14:	-16.013746,
15:	-14.263746,
16:	-18.013746,
17:	-15.763746,
18:	-15.013746,
19:	-13.513746,
20:	-16.013746,
21:	-21.013746,
22:	-25.013746,
23:	-31.013746,
24:	-36.513746,
25:	-35.763746,
26:	-38.013746,
27:	-38.013746,
28:	-38.513746,
29:	-40.263746,
30:	-42.263746,
31:	-46.763746,
32:	-47.013746,
33:	-51.763746,
34:	-49.513746,
35:	-53.513746,
36:	-54.513746,
37:	-57.013746,
38:	-58.013746,
39:	-62.263746,
40:	-62.763746,
41:	-65.013746,
42:	-68.013746,
43:	-65.763746,
44:	-68.513746,
45:	-69.263746,
46:	-72.263746,
47:	-74.263746,
48:	-79.763746,
49:	-83.263746,
50:	-84.513746,
51:	-86.763746,
52:	-84.513746,
53:	-89.013746,
54:	-88.013746,
55:	-91.013746,
56:	-92.763746,
57:	-97.513746,
58:	-99.763746,
59:	-103.763746,
60:	-108.763746,
61:	-113.763746,
62:	-119.263746,
63:	-116.763746,
64:	-116.263746,
65:	-118.513746,
66:	-118.763746,
67:	-118.263746,
68:	-121.263746,
69:	-119.513746,
70:	-117.513746,
71:	-116.763746,
72:	-120.763746,
73:	-124.763746,
74:	-130.513746,
75:	-127.763746,
76:	-131.513746,
77:	-134.763746,
78:	-140.013746,
79:	-145.263746,
80:	-143.513746,
81:	-147.263746,
82:	-149.513746,
83:	-151.263746,
84:	-153.763746,
85:	-156.763746,
86:	-159.263746,
87:	-162.763746,
88:	-161.763746,
89:	-161.013746,
90:	-165.013746,
91:	-163.763746,
92:	-167.013746,
93:	-171.513746,
94:	-177.013746,
95:	-182.013746,
96:	-187.263746,
97:	-184.763746,
98:	-188.263746,
99:	-193.013746,
100:	-193.513746,
