1:	0.486254,
2:	0.250000,
3:	1.000000,
4:	-2.750000,
5:	-4.750000,
6:	-5.250000,
7:	0.750000,
8:	-1.250000,
9:	-0.500000,
10:	-4.500000,
11:	2.750000,
12:	-1.750000,
13:	2.000000,
14:	-2.500000,
15:	1.750000,
16:	-3.750000,
17:	2.250000,
18:	0.750000,
19:	1.500000,
20:	-2.500000,
21:	-5.000000,
22:	-4.000000,
23:	-6.000000,
24:	-5.500000,
25:	0.750000,
26:	-2.250000,
27:	0.000000,
28:	-0.500000,
29:	-1.750000,
30:	-2.000000,
31:	-4.500000,
32:	-0.250000,
33:	-4.750000,
34:	2.250000,
35:	-4.000000,
36:	-1.000000,
37:	-2.500000,
38:	-1.000000,
39:	-4.250000,
40:	-0.500000,
41:	-2.250000,
42:	-3.000000,
43:	2.250000,
44:	-2.750000,
45:	-0.750000,
46:	-3.000000,
47:	-2.000000,
48:	-5.500000,
49:	-3.500000,
50:	-1.250000,
51:	-2.250000,
52:	2.250000,
53:	-4.500000,
54:	1.000000,
55:	-3.000000,
56:	-1.750000,
57:	-4.750000,
58:	-2.250000,
59:	-4.000000,
60:	-5.000000,
61:	-5.000000,
62:	-5.500000,
63:	2.500000,
64:	0.500000,
65:	-2.250000,
66:	-0.250000,
67:	0.500000,
68:	-3.000000,
69:	1.750000,
70:	2.000000,
71:	0.750000,
72:	-4.000000,
73:	-4.000000,
74:	-5.750000,
75:	2.750000,
76:	-3.750000,
77:	-3.250000,
78:	-5.250000,
79:	-5.250000,
80:	1.750000,
81:	-3.750000,
82:	-2.250000,
83:	-1.750000,
84:	-2.500000,
85:	-3.000000,
86:	-2.500000,
87:	-3.500000,
88:	1.000000,
89:	0.750000,
90:	-4.000000,
91:	1.250000,
92:	-3.250000,
93:	-4.500000,
94:	-5.500000,
95:	-5.000000,
96:	-5.250000,
97:	2.500000,
98:	-3.500000,
99:	-4.750000,
100:	-0.500000,
