1:	0.600000,
2:	3.420000,
3:	8.904000,
4:	9.784800,
5:	9.341760,
6:	8.510112,
7:	12.012134,
8:	20.714561,
9:	29.057474,
10:	35.468968,
11:	41.062762,
12:	55.575314,
13:	72.090377,
14:	83.808453,
15:	107.170143,
16:	126.504172,
17:	151.505006,
18:	186.906007,
19:	227.587209,
20:	271.004650,
21:	331.505580,
22:	396.006697,
23:	472.208036,
24:	567.549643,
25:	685.259572,
26:	823.811486,
27:	987.373783,
28:	1189.648540,
29:	1428.178248,
30:	1721.013897,
31:	2064.616677,
32:	2479.640012,
33:	2976.468014,
34:	3575.061617,
35:	4289.773941,
36:	5154.028729,
37:	6183.034475,
38:	7419.341370,
39:	8904.109644,
40:	10689.731572,
41:	12826.477887,
42:	15397.173464,
43:	18479.908157,
44:	22177.989789,
45:	26610.287746,
46:	31931.745296,
47:	38320.494355,
48:	45988.193226,
49:	55188.831871,
50:	66224.198245,
51:	79472.637894,
52:	95365.665473,
53:	114440.298568,
54:	137334.058281,
55:	164806.269937,
56:	197770.223925,
57:	237326.068710,
58:	284792.482452,
59:	341750.678942,
60:	410101.414731,
61:	492123.497677,
62:	590550.297212,
63:	708657.356655,
64:	850387.627986,
65:	1020462.153583,
66:	1224556.384299,
67:	1469473.961159,
68:	1763371.753391,
69:	2116052.404069,
70:	2539267.984883,
71:	3047120.681860,
72:	3656546.618232,
73:	4387855.341878,
74:	5265425.210254,
75:	6318515.952304,
76:	7582220.042765,
77:	9098668.851318,
78:	10918401.121582,
79:	13102080.145898,
80:	15722494.375078,
81:	18866995.950093,
82:	22640392.140112,
83:	27168469.968134,
84:	32602161.861761,
85:	39122599.634113,
86:	46947122.260936,
87:	56336551.813123,
88:	67603866.075748,
89:	81124646.190898,
90:	97349579.329077,
91:	116819501.794893,
92:	140183406.653871,
93:	168220094.284645,
94:	201864114.041574,
95:	242236936.249889,
96:	290684330.099867,
97:	348821193.119840,
98:	418585436.843809,
99:	502302526.612570,
100:	602763038.835084,
