1:	-0.400000,
2:	-2.200000,
3:	-5.400000,
4:	-4.800000,
5:	-3.200000,
6:	-1.400000,
7:	-2.600000,
8:	-6.800000,
9:	-9.600000,
10:	-10.000000,
11:	-9.000000,
12:	-13.200000,
13:	-16.800000,
14:	-15.000000,
15:	-19.400000,
16:	-18.000000,
17:	-17.800000,
18:	-21.200000,
19:	-23.400000,
20:	-22.000000,
21:	-26.200000,
22:	-25.000000,
23:	-23.000000,
24:	-23.600000,
25:	-26.400000,
26:	-27.400000,
27:	-26.600000,
28:	-29.800000,
29:	-30.200000,
30:	-35.000000,
31:	-34.600000,
32:	-36.000000,
33:	-36.600000,
34:	-38.800000,
35:	-38.600000,
36:	-42.800000,
37:	-41.600000,
38:	-41.400000,
39:	-42.000000,
40:	-45.200000,
41:	-44.400000,
42:	-48.000000,
43:	-50.200000,
44:	-51.600000,
45:	-49.400000,
46:	-49.000000,
47:	-50.600000,
48:	-53.000000,
49:	-55.000000,
50:	-53.400000,
51:	-55.800000,
52:	-54.800000,
53:	-55.800000,
54:	-59.600000,
55:	-63.200000,
56:	-65.000000,
57:	-66.200000,
58:	-67.000000,
59:	-66.800000,
60:	-67.200000,
61:	-68.400000,
62:	-69.800000,
63:	-67.800000,
64:	-67.000000,
65:	-65.000000,
66:	-66.200000,
67:	-70.400000,
68:	-72.400000,
69:	-76.600000,
70:	-80.000000,
71:	-79.400000,
72:	-80.600000,
73:	-80.200000,
74:	-79.400000,
75:	-83.200000,
76:	-83.800000,
77:	-87.000000,
78:	-86.000000,
79:	-85.200000,
80:	-84.000000,
81:	-85.800000,
82:	-83.800000,
83:	-83.400000,
84:	-82.000000,
85:	-85.600000,
86:	-87.400000,
87:	-90.800000,
88:	-93.400000,
89:	-98.000000,
90:	-100.600000,
91:	-105.000000,
92:	-108.000000,
93:	-112.200000,
94:	-112.800000,
95:	-112.400000,
96:	-116.800000,
97:	-114.800000,
98:	-118.200000,
99:	-119.800000,
100:	-124.400000,
