1:	-1.050000,
2:	-4.405000,
3:	-6.496000,
4:	6.859800,
5:	11.141760,
6:	12.735112,
7:	5.662134,
8:	0.789561,
9:	10.707474,
10:	24.218968,
11:	35.187762,
12:	29.250314,
13:	44.040377,
14:	74.433453,
15:	74.020143,
16:	112.879172,
17:	134.330006,
18:	155.081007,
19:	197.312209,
20:	253.379650,
21:	292.180580,
22:	374.756697,
23:	455.458036,
24:	542.074643,
25:	650.109572,
26:	793.286486,
27:	963.273783,
28:	1149.848540,
29:	1396.728248,
30:	1671.013897,
31:	2031.266677,
32:	2439.265012,
33:	2937.993014,
34:	3529.386617,
35:	4251.798941,
36:	5098.103729,
37:	6145.184475,
38:	7378.566370,
39:	8860.234644,
40:	10634.531572,
41:	12784.577887,
42:	15337.923464,
43:	18422.833157,
44:	22122.014789,
45:	26567.762746,
46:	31883.995296,
47:	38264.894355,
48:	45927.693226,
49:	55127.581871,
50:	66175.798245,
51:	79409.337894,
52:	95313.990473,
53:	114381.373568,
54:	137262.583281,
55:	164731.819937,
56:	197699.598925,
57:	237256.118710,
58:	284722.982452,
59:	341684.503942,
60:	410032.964731,
61:	492051.347677,
62:	590476.122212,
63:	708595.806655,
64:	850323.127986,
65:	1020403.403583,
66:	1224486.434299,
67:	1469390.436159,
68:	1763293.103391,
69:	2115962.679069,
70:	2539177.359883,
71:	3047043.156860,
72:	3656462.268232,
73:	4387776.391878,
74:	5265348.310254,
75:	6318420.877304,
76:	7582134.367765,
77:	9098571.851318,
78:	10918318.246582,
79:	13101997.445898,
80:	15722414.125078,
81:	18866904.525093,
82:	22640314.590112,
83:	27168387.818134,
84:	32602084.236761,
85:	39122502.784113,
86:	46947029.235936,
87:	56336450.388123,
88:	67603764.550748,
89:	81124533.815898,
90:	97349470.604077,
91:	116819383.044893,
92:	140183289.278871,
93:	168219968.959645,
94:	201863999.366574,
95:	242236825.099889,
96:	290684199.549867,
97:	348821084.569840,
98:	418585308.018809,
99:	502302401.812570,
100:	602762900.060084,
